key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_15.keys,key_resp_15.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,base_sentence_number,version,experiment,list,numb_words,gender,sentence,question,answer,CorrAns,w1,w2,w3,w4,w5,w6,w7,w8,w9,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_16.keys,key_resp_16.rt,word1.keys,word1.rt,word2.keys,word2.rt,word3.keys,word3.rt,word4.keys,word4.rt,word5.keys,word5.rt,word6.keys,word6.rt,word7.keys,word7.rt,word8.keys,word8.rt,word9.keys,word9.rt,compquestion.keys,compquestion.corr,compquestion.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,90.5214,y,4.1056,space,1.8478,space,0.8424,space,0.7716,space,0.581,space,0.6669,space,0.4984,space,0.4989,space,0.5049,space,0.4642,n,5.0028,0,0,0,0,1,NA,NA,practica,NA,NA,NA,Rita is uncomfortable because it is very hot outside.,Is it cold?,no,0,Rita,is,uncomfortable,because,it,is,very,hot,outside.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.4587,space,0.3969,space,0.4959,space,0.5147,space,0.6155,space,0.6998,space,1.3659,space,2.5733,space,0.6105,n,2.8269,0,1,1,1,1,NA,NA,practica,NA,NA,NA,Peter was running by himself in the park yesterday.,Was Peter painting the wall?,no,0,Peter,was,running,by,himself,in,the,park,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.6473,space,0.8322,space,1.0941,space,0.5922,space,0.5794,space,0.4317,space,0.531,space,0.447,space,0.4574,y,2.3815,0,2,2,2,1,NA,NA,practica,NA,NA,NA,Hannah is watching tv because she is really bored.,Is Hannah in front of a screen?,yes,1,Hannah,is,watching,tv,because,she,is,really,bored.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1_1,neutral_gender_someone,1,9,masculine,Someone called me but he stopped before I answered,Did the person try to communicate?,yes,1,Someone,called,me,but,he,stopped,before,I,answered.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,space,6.7004,space,2.3063,space,0.5649,space,0.5435,space,0.5104,space,0.3951,space,0.4115,space,0.418,space,0.3832,space,0.3391,y,0,4.7777,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21_2,inclusive_gender_reflexive,1,9,themself,Jack was cooking by themself in the kitchen yesterday.,Was Jack in the kitchen?,yes,1,Jack,was,cooking,by,themself,in,the,kitchen,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,1.0695,space,0.6932,space,1.9814,space,0.6393,space,2.862,space,0.8485,space,0.6646,space,0.465,space,0.419,y,0,2.8656,0,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,NA,filler,1and2,9,NA,The aroma of freshly brewed coffee filled the room.,Was the smell nice?,,1,The,aroma,of,freshly,brewed,coffee,filled,the,room.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.7087,space,0.57,space,0.643,space,0.9156,space,0.5062,space,0.8156,space,0.8368,space,0.4988,space,0.3557,y,0,7.5801,0,2,2,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22_1,inclusive_gender_reflexive,1,9,himself,Max was painting by himself in the studio earlier.,Was Max watching tv?,no,0,Max,was,painting,by,himself,in,the,studio,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.4023,space,0.6766,space,2.7522,space,0.5667,space,0.3809,space,0.8824,space,0.9656,space,0.4815,space,0.4145,n,0,1.5389,0,3,3,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33_1,inclusive_gender_they,1,9,she,Sara is happy because she found new friends yesterday.,Is Sara in a good mood?,yes,1,Sara,is,happy,because,she,found,new,friends,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,7.8051,space,0.4524,space,0.6775,space,0.6963,space,0.5548,space,0.4132,space,0.3741,space,0.2909,space,0.3388,y,0,2.2704,0,4,4,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31_2,inclusive_gender_reflexive,1,9,themself,Troy was singing by themself in the shower yesterday.,Was Troy singing?,yes,1,Troy,was,singing,by,themself,in,the,shower,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.8575,space,0.6509,space,0.4223,space,0.7829,space,1.2357,space,0.3783,space,0.3393,space,0.3047,space,0.4309,y,0,2.1483,0,5,5,5,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,NA,filler,1and2,9,NA,"Soft raindrops tapped gently, creating a rhythmic melody outside.",Was it a sunny day?,,0,Soft,raindrops,tapped,"gently,",creating,a,rhythmic,melody,outside.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.6035,space,0.715,space,1.3996,space,0.6573,space,0.6856,space,0.4146,space,0.3956,space,0.3223,space,0.3589,n,0,1.3815,0,6,6,6,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34_2,inclusive_gender_they,1,9,they,Mary is sad because they lost the dog earlier.,Did mary lose something?,no,0,Mary,is,sad,because,they,lost,the,dog,earlier.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,2.3708,space,0.5733,space,1.0651,space,0.4157,space,0.4802,space,0.5318,space,0.4275,space,0.3898,space,0.5382,y,0,1.5681,0,7,7,7,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10_2,neutral_gender_someone,1,9,neutral,Someone shushed me but they stopped before I noticed.,Was the person happy to hear a voice?,no,0,Someone,shushed,me,but,they,stopped,before,I,noticed.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,4.4747,space,4.3782,space,0.5669,space,0.5486,space,0.419,space,0.3712,space,0.3832,space,0.3154,space,0.3027,n,0,4.3059,0,8,8,8,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,NA,filler,1and2,9,NA,"They went on an exciting trip, embracing their destiny.",Did they stay home?,,0,They,went,on,an,exciting,"trip,",embracing,their,destiny.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,1.592,space,0.5594,space,0.4188,space,0.3533,space,0.4314,space,0.3828,space,0.4146,space,0.3894,space,0.4572,n,0,1.5243,0,9,9,9,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23_2,inclusive_gender_reflexive,1,9,themself,Ben was dancing by themself in the kitchen yesterday.,Was Ben in the kitchen?,yes,1,Ben,was,dancing,by,themself,in,the,kitchen,yesterday.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,1.6094,space,0.6077,space,0.6048,space,0.5525,space,1.1662,space,0.5659,space,0.4313,space,0.382,space,0.3904,y,0,2.2379,0,10,10,10,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9_1,neutral_gender_someone,1,9,masculine,Someone helped me but he left before I finished.,Did the person offer some help?,yes,1,Someone,helped,me,but,he,left,before,I,finished.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.6137,space,0.4254,space,0.4387,space,0.3903,space,0.4654,space,0.5164,space,0.3706,space,0.343,space,0.4662,y,0,5.6874,0,11,11,11,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12_2,neutral_gender_someone,1,9,neutral,Someone scared me and they ran after I screamed.,Did the person write a note?,no,0,Someone,scared,me,and,they,ran,after,I,screamed.,INC_J_BEG_09,001,2023-07-20_08h43.41.250,spr_english_2023_list1,2021.1.1,Win32,58.33965346,,,space,0.886,space,0.4816,space,0.3383,space,0.3162,space,0.2668,space,0.2824,space,0.2978,space,0.3015,space,0.2837,n,0,3.3877,0,12,12,12,1,
